dataset	trained on	epoch	model	input dim	hidden dim	embedding dim	dropout	learning rate	window sizes	num filters	max feats	output dim	accuracy	precision	recall	f1-score	train loss	dev accuracy	dev precision	dev recall	dev f1-score	dev loss
Wulczyn et al.	Wulczyn et al.	0	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.0	0.0	0.0	0.0	17.690647996861475	0.0	0.0	0.0	0.0	23.2499007874751
Wulczyn et al.	Wulczyn et al.	1	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8370083183547214	0.08328826392644673	0.09756715661429295	0.0898640368792671	23.01923300722832	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	5.4409408265376
Wulczyn et al.	Wulczyn et al.	2	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.794068469673536	0.13628988642509465	0.09706494106771435	0.11338072527670295	14.730397811165643	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	36.31125498007968
Wulczyn et al.	Wulczyn et al.	3	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8190757848095974	0.10567874526771227	0.09748553182997406	0.10141693050293248	32.14635127449207	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.10343781125498
Wulczyn et al.	Wulczyn et al.	4	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8355661915311625	0.08523526230394808	0.09769402429952889	0.09104037894980072	34.38912252766434	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	55.76769095493028
Wulczyn et al.	Wulczyn et al.	5	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8242695314132843	0.09594375338020551	0.09491706795077581	0.09542764927380312	35.586429037735805	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	53.08607756474104
Wulczyn et al.	Wulczyn et al.	6	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8077582243029721	0.11444023796646836	0.09390254726191533	0.1031591263650546	33.3585134006008	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.99517165712152
Wulczyn et al.	Wulczyn et al.	7	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.7991786147222338	0.12871822606814495	0.09634067357512953	0.11020049080890865	29.867906124277994	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	41.69072927041832
Wulczyn et al.	Wulczyn et al.	8	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.799418969192827	0.1230935640886966	0.0930879345603272	0.10600838379133674	27.22993435981964	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	39.53940488047809
Wulczyn et al.	Wulczyn et al.	9	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8122831584667475	0.11379123850730125	0.09720938828312696	0.10484875666517167	27.50161417191211	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	46.42215123879482
