dataset	trained on	epoch	model	input dim	hidden dim	embedding dim	dropout	learning rate	window sizes	num filters	max feats	output dim	accuracy	precision	recall	f1-score	train loss	dev accuracy	dev precision	dev recall	dev f1-score	dev loss
Davidson et al.	Davidson et al.	0	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.0	0.0	0.0	0.0	4.701504653828735	0.0	0.0	0.0	0.0	3.109973824341707
Davidson et al.	Davidson et al.	1	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.7472510844345809	0.8704230466622284	0.8336424762346395	0.8516358253145817	5.5683133649523	0.8502824858757062	1.0	0.8502824858757062	0.9190839694656487	11.693517012207426
Davidson et al.	Davidson et al.	2	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.7253101987289418	0.8396175028747807	0.8322634831123643	0.8359243191130392	11.568306568206937	0.1497175141242938	0.0	0.0	0.0	4.763213150726393
Davidson et al.	Davidson et al.	3	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.7635428225562393	0.89584215941415	0.8330238055039676	0.8632917298495276	7.571281998113968	0.8502824858757062	1.0	0.8502824858757062	0.9190839694656487	11.560292290910008
Davidson et al.	Davidson et al.	4	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.7364067386260466	0.858863402529807	0.8306116476441323	0.8445013092120923	9.043228008378398	0.8498789346246973	0.9995253915519696	0.8502220427937021	0.918848167539267	15.160351720137207
Davidson et al.	Davidson et al.	5	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.698577625340462	0.7949524904678327	0.8354003688863448	0.8146746883334367	11.301944178432409	0.8498789346246973	0.9995253915519696	0.8502220427937021	0.918848167539267	9.083876393512913
Davidson et al.	Davidson et al.	6	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6558055079188944	0.7333414028929371	0.8336429308565532	0.7802820529332216	8.201947558555114	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	11.056267024818402
Davidson et al.	Davidson et al.	7	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6722485624936951	0.7527688676390486	0.8375193589657263	0.7928858290304074	8.825551027055345	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.407400357521187
Davidson et al.	Davidson et al.	8	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6608998285080198	0.7349754887127035	0.8382109331860851	0.7832059591757763	6.320787804237134	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	11.199887131759484
Davidson et al.	Davidson et al.	9	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6863714314536468	0.7730436361435574	0.8380683682173086	0.8042437980103261	9.345146238749749	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	5.912720613271792
Davidson et al.	Davidson et al.	10	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6463230101886411	0.7198450644556074	0.8330881837921131	0.7723376623376622	6.341543067178656	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	11.072059120258272
Davidson et al.	Davidson et al.	11	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6830424694845153	0.7700175512921382	0.8366541724205958	0.8019539867633154	9.117315671259467	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	4.634710451977401
Davidson et al.	Davidson et al.	12	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6474326641783517	0.7169400229982449	0.836641005720743	0.7721791278273905	5.536921228997392	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	11.051123322740112
Davidson et al.	Davidson et al.	13	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6950469081004741	0.7865399745808872	0.8376409925878182	0.8112865971658655	7.666834474608045	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	8.511157561541566
Davidson et al.	Davidson et al.	14	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6734590941188339	0.7537372147915028	0.8381452318460193	0.7937033968516986	6.415289405808131	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	8.120874634281678
Davidson et al.	Davidson et al.	15	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6840008070210835	0.7626339042546753	0.8432146680942184	0.8009025328121525	6.846107700428327	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	8.502047707324456
Davidson et al.	Davidson et al.	16	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6737617270251185	0.7604551231616534	0.8334991708126036	0.795303500221533	6.890280842480428	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	8.841874905417676
Davidson et al.	Davidson et al.	17	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.669070916977706	0.7490165224232888	0.8367816091954023	0.7904704116501133	7.446313909982608	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	7.166249716253026
Davidson et al.	Davidson et al.	18	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.66543932210229	0.7409066150214852	0.8388378785802385	0.7868367773242922	6.546889607677616	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	8.913592741121873
Davidson et al.	Davidson et al.	19	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6756784020982548	0.7552502572172124	0.8394887319206189	0.7951446412641774	7.305952180854538	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.289393144042575
Davidson et al.	Davidson et al.	20	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6686674064359931	0.7433880045996489	0.8406104571584999	0.7890155773245543	5.975428924158413	0.8502824858757062	0.9990507831039392	0.8508488278092159	0.9190133158698974	9.657082324455207
Davidson et al.	Davidson et al.	21	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6879854736204983	0.7726805059613872	0.8401000197407383	0.8049810844892812	8.104160252221595	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.321506601846247
Davidson et al.	Davidson et al.	22	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6575708665388883	0.7295285359801489	0.8385974676499235	0.780269929119332	6.348038590184064	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.456083850383374
Davidson et al.	Davidson et al.	23	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6796126298799556	0.7634206863160443	0.8377498837749884	0.7988600379987334	7.906230026040395	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.336421052133777
Davidson et al.	Davidson et al.	24	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6628669423988701	0.7366095745324699	0.8392056815831207	0.7845677818603751	5.768944233586782	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	7.520890870914044
Davidson et al.	Davidson et al.	25	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6944920811056189	0.7813956303334746	0.8407788486585048	0.8100003136861257	6.55317232267991	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	9.425909724324052
Davidson et al.	Davidson et al.	26	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.679814385150812	0.7611208618289657	0.8396875208653268	0.7984761904761903	7.852124474212884	0.8494753833736884	0.9990507831039392	0.8501615508885298	0.9186122627100152	6.688773708635996
Davidson et al.	Davidson et al.	27	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6641783516594371	0.739454094292804	0.8385148582801455	0.7858750884414999	6.287681882056509	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.067980257516142
Davidson et al.	Davidson et al.	28	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6842025622919399	0.7672940749258609	0.8399363985689678	0.8019736217857483	7.640662102577581	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	6.613974853712672
Davidson et al.	Davidson et al.	29	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6665489760920004	0.7416933970828542	0.8394985614467735	0.7875710934738601	6.321090025965771	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.121692771388217
Davidson et al.	Davidson et al.	30	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6828407142136589	0.7647521636506688	0.8403271929241205	0.8007604562737644	7.582064551829955	0.8498789346246973	0.9990507831039392	0.8505050505050505	0.9188127455259713	6.24547660033293
Davidson et al.	Davidson et al.	31	mlp	838	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.6684152123474226	0.7419354838709677	0.8414441622623379	0.7885629743985592	6.112228958082166	0.8498789346246973	0.9985761746559089	0.850788515972503	0.9187772925764193	9.3429815186138
